b	部分
cmd	閭
cmf	鍼
cmj	鈍
cml	銪
cmm	閎
cmn	闑
cmq	绂
cmw	鋮
cmy	釴
cnh	鏢
cnk	鈔
cnl	绡
cnw	遒
cny	銦
cpc	𬘓
cpg	缁
cpt	釣
cqr	绀
crf	鐶
csc	岿
csd	𨭎
csf	峛
csg	酆
csh	嵚
csj	峯
csk	嶽
csl	巅
csm	嵋
csn	崙
csq	㠓
csr	崍
css	崚
csw	嵊
csx	耑
cvd	鉊
cvj	鎛
cvl	鳖
cww	銹
cxx	鏐
cyc	鐐
cyh	錡
cyt	鈺
dcb	呗
dcc	咝
dch	啴
ddf	鹗
dgg	𫑡
djc	颀
djd	聵
djk	聹
djl	聃
dkl	叻
dkm	唣
dlb	嗲
dld	婁
dln	呙
dmb	矓
dmf	睍
dmh	䴗
dmk	哓
dml	眵
dmn	嗾
dmp	盷
dmr	𪾢
dms	眭
dnb	唄
dnf	喓
dsc	哧
dsh	啫
dyg	唵
dyr	靆
dyw	哒
dyx	鹴
ffd	厨
fhf	亘
fhl	厴
fjf	㛹
fjv	彔
fkv	厔
fln	殤
flv	䴕
fsd	姞
fvc	踯
fvd	䴓
fvf	𧿹
fvh	蹂
fvj	鹭
fvk	踽
fvm	跣
fvq	躏
fvs	蹺
fxl	娌
fyb	襜
fyg	裉
fyh	裼
fyn	𬌗
fyq	衩
fys	襀
gcs	墜
ggc	弶
ggk	弔
ggx	鱀
gmm	騱
gmn	駼
gmr	驛
gmy	馱
gtg	畯
gts	畤
gyc	鱾
gyg	鲐
gyh	鳀
gyj	鲋
gyk	鳇
gyl	鲼
gym	鳚
gyp	𬶋
gyr	鲇
gys	𬶮
gyw	䲟
hbl	鬒
hdd	铝
hfh	越来越
hgb	賡
hgh	锕
hgs	廒
hhg	黪
hjg	锍
hkj	瞀
hkl	矞
hmw	铖
hrb	暉
hrc	晾
hrf	昃
hrh	越來越
hrk	暄
hrl	旰
hrm	暇
hrp	昀
hrq	曄
hrr	昄
hrw	旸
hrx	暱
hsj	鿏
hsk	禕
hss	祾
hwf	𨭉
hyt	钛
jbf	儋
jcj	糶
jck	齋
jgm	𠅤
jgt	佃
jjv	囱
jkj	翛
jms	垈
jnd	亶
jsd	僖
jsj	𫗴
jsl	馕
jvr	螽
kbc	皑
kbm	皭
kcc	輶
kcf	輻
kcj	蟿
kck	軤
kcl	軲
kqc	狈
kqf	獗
kqh	猻
kqk	獰
kql	謇
kqq	獾
kqr	玀
kqy	獠
kvv	貂
kwd	韝
kxd	窎
kxm	窀
kxs	窵
kyh	徛
lbf	郪
lcv	齠
lcy	謄
ldn	斡
lgc	顸
lgf	頇
lhs	䏡
ljy	鸯
lkf	脘
lkl	胁
lnf	𦝼
lvj	膊
lvm	翽
lvn	龊
lvt	訾
lxc	眢
mcc	𬨎
mcf	轭
mcl	轱
mcq	辍
mcv	轺
mfn	旃
mgm	剗
mgy	谿
mlq	爰
mnl	邾
mnp	酇
mnx	悃
msd	擘
msk	屦
mvd	怊
mvm	有没有
nbb	贐
nbc	箫
nbm	賤
nhj	篱
nhs	佘
nmg	糁
nmh	粿
nsj	饘
nst	歅
ntq	箨
ntw	颔
nvg	齇
nwf	笥
nxy	尜
nyc	醾
nyh	醣
nyl	酮
nyn	酢
pch	焞
pcs	岊
pdh	㸌
pfl	魉
pgl	煟
pnt	熗
ppb	塋
prj	勻
psc	磑
psd	𥕢
psf	礪
psg	磣
psh	磡
psj	碸
psk	矶
psl	磔
psm	砗
psq	硔
pss	磧
psw	乭
psx	砵
qbd	𬜬
qbf	鸏
qbv	菉
qch	葶
qdd	鹳
qdn	茑
qfl	𬜯
qfq	荊
qfv	䓣
qgg	茛
qgv	刭
qhq	蕻
qhw	芤
qhy	摹
qkb	蘖
qkh	葖
qkk	藠
qld	苘
qlg	䢼
qmw	蔿
qnf	蔹
qqq	剟
qrj	苋
qrs	藷
qtk	薿
qtq	芡
rbd	逴
rbl	粲
rbn	卤
rjg	馮
rjt	粢
rmb	驺
rmm	𫘬
rmy	驮
rnb	痪
rnc	瘅
rnf	癧
rng	瘾
rnh	疔
rnk	痂
rnn	痼
rnq	癱
rny	瘗
rwf	鹮
rww	罶
ryr	凿
ryy	鑾
scb	坝
sfm	乸
sfx	榖
sgk	坳
skw	韨
snb	垻
snf	𪣻
spj	驁
srb	摯
sss	櫫
syc	魢
syg	鰺
syh	鱅
syk	鮟
syl	鱧
sym	䲁
syn	鰮
syp	鮈
syr	鮎
sys	鱚
syw	鰳
tfs	掾
tjc	為什麼
tkn	搾
tkw	撾
txh	揸
vbf	濜
vbk	滻
vcf	溦
vch	漼
vhf	澦
vhr	汨
vjg	帱
vjh	洑
vjk	浟
vjl	滾
vjn	澶
vjr	幞
vkd	泇
vkf	浣
vld	泂
vll	淜
vmw	潙
vnf	漵
vnk	裟
vnt	浛
vqf	懑
vqh	濩
vsh	瀂
vvt	澀
vwn	潲
vxx	濋
wgk	鞝
wgn	靰
whd	诃
whg	䅟
whh	馧
whk	秭
whl	稹
whp	鹙
whs	穡
wry	牂
wvf	卺
xdd	櫍
xgm	椭
xhr	杳
xhs	柰
xjd	鸸
xjs	鴯
xkn	槛
xkw	槤
xlx	棗
xmk	槭
xsh	櫓
xtg	桹
xxl	翂
ybt	紈
ybv	緑
ycj	玘
ycn	綡
ycq	纕
ydd	耷
ydf	㻬
ydl	琄
ydx	繻
yfj	玗
yfr	瑨
yfs	瑑
ygs	珅
yhf	瑅
yhj	縭
yht	緄
yhw	玟
yjc	𤧛
yjd	珞
yjg	琉
yjj	璁
ykd	瑋
ykf	琔
ykh	琮
ykk	絎
ykm	琯
ykv	瑔
ykw	璉
yll	綳
yls	綎
ylv	玢
ymb	瑷
yml	瑗
ymp	纘
ynn	纓
ynt	瑲
yph	珣
ypt	玓
yrf	繯
ytg	瑯
ytt	玭
yvd	玿
yww	綉
yxn	瑓
yxx	璆
yyf	琲
yyh	綺
a	了
i	是
e	的
o	我
u	不
ba	群
bu	部
ca	前
ce	给
co	就
cu	级
de	眼
di	中
du	哪
fo	路
gi	能
gu	院
he	明
ho	这
ja	你
ji	事
jo	过
ju	個
ke	很
ki	復
ko	知
ku	得
lo	还
me	有
mo	告
mu	特
no	回
qa	英
qe	藏
qi	著
qu	对
re	説
ro	后
ru	着
sa	考
so	喜
ta	掉
te	找
tu	看
vo	治
wa	利
we	说
wo	和
wu	那
xa	样
xe	整
xo	格
ye	給
yi	理
yo	奇
yu	太
bdi	象
bjsi	晝
bke	軍
bla	親
ble	韵
bna	尔
bri	写
cla	鐵
cmi	麽
cna	京
cno	道
cpu	釣
cqo	经
cso	選
dce	呗
ddi	听
dka	别
dle	味
dne	唄
dta	吹
dye	震
fde	頭
fhi	好
fle	两
flu	再
fni	来
fqu	型
fwi	婚
ggi	引
gme	阵
hgi	應
hgo	度
hgu	底
hqu	基
hra	影
hre	晚
hro	最
hru	时
jbe	们
jca	出
jce	們
jci	帝
jdu	保
jfi	使
jgi	率
jhi	但
jka	倒
jki	候
jmi	代
jno	作
jqu	发
jvi	市
jvu	处
jxi	体
jxo	裏
kbu	樂
kdi	師
kfi	定
klo	加
kpa	寫
kqo	獨
kru	卡
kso	掌
kva	到
kxo	空
kye	寶
ldi	所
lha	然
lja	刚
ljo	同
lqi	動
lve	些
lxo	名
lxu	外
mbi	愛
mbo	受
mco	轻
mcu	转
mgi	或
mgu	發
mna	物
mne	先
mqu	怪
mse	情
mso	展
mvi	存
mvo	友
mvu	在
nbu	購
nfi	會
nfo	途
nqa	無
nri	会
nsa	年
nta	創
nte	领
nto	令
nwa	因
nxe	少
nxi	当
nye	醒
pbi	學
pci	包
pdi	够
pso	周
qji	花
qsi	带
rba	点
rle	話
rvi	認
ryi	變
sdi	臺
sli	老
slu	都
sru	執
sye	龙
tbu	接
vje	濟
vki	淀
vle	活
vno	酒
vnu	海
vsi	法
wle	话
wte	以
wwu	书
xdi	想
xdu	相
xri	樣
yfa	現
yfo	經
yji	總
yra	现
yro	環
yso	結
csfe	顗
csje	峯
hrbe	暉
msdu	嬖
bbbo	蟲
bbbrm	蠱
bbda	蟑
bbdpi	皱
bbdss	蟓
bbdtu	冤
bbe	臦
bbfcj	蛫
bbfra	蟾
bbgjc	蟳
bbgu	邹
bbhi	雏
bbhla	螟
bbi	爻
bbji	刍
bbjjv	蝬
bbjpb	煞
bblro	蠬
bbmhr	蟙
bbmxi	急
bbnbe	蝜
bbpo	燛
bbpu	蜭
bbtmn	蠏
bbve	爼
bbwfi	蟰
bbwi	争
bbyco	臩
bcbe	负
bcbla	螊
bccla	蟤
bcdpe	蜕
bcfca	螘
bcfu	媐
bcfvj	蛳
bcggy	螆
bchdo	蠵
bchdi	蝏
bchli	蝉
bchvi	蜳
bclrm	螠
bclu	螰
bclu	麁
bcnyo	蝤
bcpba	熙
bcpba	煕
bcqa	蛢
bcqfo	蠰
bcsa	冚
bcsi	巸
bcssi	蠔
bcycj	蜷
bcye	颐
bddhi	蠷
bddli	蟬
bddqo	蠼
bddya	蟶
bdfi	蚯
bdfyd	蜈
bdga	蝇
bdhri	螬
bdji	蚚
bdjvi	夐
bdjvi	敻
bdki	蚛
bdknb	贒
bdle	蜎
bdlfu	螻
bdlne	蜗
bdpe	免
bdpi	蚾
bdpkl	勉
bdpsn	鵵
bdptu	兔
bdpwo	逸
bdqo	冣
bdskl	勨
bdssi	象
bdtgu	酁
bdttu	毚
bdtu	蚸
bdtvd	劖
bdwwp	鼏
bdxje	蠕
be	臣
bfa	厃
bfblv	蜨
bfcfy	頠
bfcje	危
bfcje	蚅
bfctq	蟩
bfdgt	蝠
bfdgt	冨
bfdki	螎
bffjc	蟵
bffpa	蛎
bfhri	蛨
bfja	蜆
bfjo	虶
bfknx	螈
bfksi	矦
bflne	蛃
bflra	詹
bflvd	蛚
bflyw	甔
bfnjc	冠
bfnqo	冦
bfnwu	蚖
bfo	农
bfpgo	蛵
bfqa	蚈
bfqxy	蠣
bfssi	蝝
bfssi	冡
bfvjr	蜽
bfvtu	蛷
bfxu	蝶
bfya	蚜
bfye	頤
bfye	蝢
bfye	頣
bga	龟
bge	蚌
bgge	蛝
bgggt	蠝
bggne	蟣
bgki	蚓
bgkje	蝍
bgkli	蚴
bgle	蝟
bgma	螞
bgmnu	蛑
bgo	虹
bgwo	螁
bgyi	螺
bgyo	蚰
bha	虾
bhbdo	螗
bhcjc	蝷
bhcla	蠊
bhco	蛴
bhdi	虰
bhdji	蟖
bhdna	鹤
bhdo	蚵
bhfka	蝪
bhflv	蝭
bhga	亀
bhga	蝿
bhhe	蟔
bhi	隺
bhi	蜼
bhjbj	鼆
bhjfj	覭
bhjgi	螭
bhjgu	鄍
bhjla	冥
bhkxu	蝚
bhpba	蟭
bhpka	蜴
bhptq	蠍
bhpwi	蝎
bhqi	蜞
bhqpb	蟅
bhri	蚎
bhrmi	蜢
bhrmi	蝹
bhrqo	蟃
bhsna	鶴
bhtti	蜫
bhvi	虸
bhwe	蚊
bhxu	蜾
bhyvj	幂
bi	隶
bi	乂
bi	冖
bja	凶
bjbke	蛜
bjbti	螕
bjbvj	帚
bjbhx	彚
bjcld	鹔
bjcdo	螪
bjcla	肃
bjcmf	螃
bjcnv	馗
bjcrj	蠐
bjdna	鸠
bjdo	叴
bjdo	蛒
bjfpn	賮
bjfpr	盡
bjfye	頄
bjge	蜂
bjgdg	鄩
bjgi	厹
bjgdj	尋
bjgli	蟀
bjgle	蜟
bjgdq	彠
bjgya	蚿
bjhri	旭
bjhri	旮
bji	彐
bji	肀
bjjcu	寻
bjjcu	蚹
bjjmx	蟌
bjjqq	彟
bjkdo	君
bjke	尹
bjkdf	頵
bjkdf	裠
bjkdf	覠
bjkdg	郡
bjkji	蚢
bjkdp	焄
bjkdr	群
bjkdr	羣
bjkds	鵘
bjkdv	帬
bjkxu	螩
bjlbi	蛟
bjli	卆
bjlxi	夛
bjmnb	蟘
bjmyi	蚮
bjnco	粛
bjnfi	蟺
bjnli	蜶
bjnlq	彛
bjnyq	彞
bjpe	兇
bjpo	灵
bjra	訄
bjrhu	虓
bjsgf	畫
bjshf	晝
bjshr	書
bjsgj	畵
bjska	聿
bjsna	鳩
bjsfr	衋
bjssi	建
bjsgv	劃
bjtfu	奿
bjti	鬯
bjtu	丸
bju	九
bju	虯
bjvi	录
bjvji	帇
bjvrm	盝
bjvvd	剥
bjvwo	逯
bjwwf	肅
bjwws	鷫
bjwwt	歗
bjxhi	雑
bjxu	杂
bka	蝸
bkce	軍
bkce	蛼
bkdji	螹
bkdka	蝺
bkdo	蜘
bkdpi	皸
bkffi	蝖
bkfla	螾
bkflv	蝊
bkfnb	蠙
bkfvj	螄
bkfye	顐
bkgdo	螛
bkgta	蟷
bkgu	鄆
bkgu	螖
bkji	冗
bkji	虮
bkkkl	蛠
bkkvi	螲
bklcj	蜿
bklsi	蜒
bkmi	虴
bkmxi	蟪
bkngt	蟠
bknmx	蟋
bksna	鶤
bksu	螳
bkti	蛇
bkti	冟
bktmg	蛾
bkvi	蛭
bkvji	蟐
bkwa	虻
bkwo	運
bkya	蝗
bkyfu	蛈
blbbi	蛧
blbhr	暜
blbi	蚥
blbli	竝
blbbw	竫
blca	蚲
blchh	竲
blcnj	竴
blckw	蝄
blcxj	端
blda	章
bldjc	赣
bldgu	部
bldgu	鄣
bldjj	竷
bldjv	敨
bldka	彰
bldkl	勏
bldjm	戇
bldjm	戆
bldgm	戅
bldjn	贛
bldgn	贑
bldo	咅
bldpp	競
bldpe	竞
bldpe	蛻
blddp	郶
bldvd	剖
bldwi	竒
bldwo	遧
bldyw	瓿
ble	肎
ble	蚏
blfhr	竡
blfi	蚽
blfdk	竵
blfu	妾
blfxl	竰
blga	虷
blga	竜
blgi	蚣
blglj	竣
blgks	竢
blgu	蛄
blgxi	螉
blhvd	韶
blhtf	嬜
blhjg	韸
blhjj	韷
blhmx	意
blhdn	韻
blhpe	竟
blhpp	竸
blhqa	蜧
blhqq	頀
blhri	音
blhpr	韵
blhms	鷾
blhse	竧
blhsn	鶕
blhtq	歆
blhfv	韴
blhpw	竭
blhjw	韼
blhky	韹
blhqy	韺
bli	立
bljfe	颯
blkbi	飒
blkkc	颜
blke	产
blkkf	顔
blkmg	竤
blkhd	竚
blkje	産
blkji	竌
blkjc	竱
blkka	彦
blkdk	竬
blkbl	亷
blkqa	竔
blku	竐
blkjv	剷
blkve	竩
blkkw	遃
bllrb	蠪
bllce	蝙
bllrd	聾
blle	蝴
bllrf	襲
bllga	罕
bllrg	驡
bllrh	龒
blli	竍
bllrl	龔
bllma	竓
bllrp	礱
bllqo	攱
bllqa	竏
bllrq	龏
bllro	龍
bllro	蝻
bllrr	讋
bllrr	龖
bllrr	龘
bllrs	壟
bllrs	鸗
bllva	竕
bllxi	蛥
bllry	龑
blma	蚝
blmfc	竳
blmgi	竑
blmhr	戠
blmhi	蠘
blmcq	竮
blne	蚋
blnke	竗
blntq	竛
blpdo	竘
blqa	竎
blqnb	蟦
blqo	蚑
blqu	蛐
blrdo	站
blrdm	蝐
blrda	竨
blrje	蚦
blse	蛞
blsfy	顡
blsi	蜓
blsku	毅
blsle	靖
blsna	鴗
blssi	豙
blsu	蚺
bltto	蟕
blva	蚡
blxdj	新
blxdo	竦
blxfj	親
blxkl	勭
blxli	童
blxlm	氃
blxli	蝩
blxu	亲
blxu	罙
blxxi	翊
blya	朢
blyda	奂
bmbga	阄
bmbo	闽
bmbpu	阎
bmccj	闿
bmce	军
bmchl	阐
bmcdp	阅
bmcjt	阙
bmdkc	阓
bmddo	闾
bmdfi	蜮
bmdhq	阒
bmdje	闻
bmdmu	蝞
bmdo	问
bmdpi	皲
bme	门
bmfa	蚄
bmffu	蝛
bmfha	阂
bmfi	闩
bmga	蛌
bmggu	郄
bmgu	郓
bmgyd	螇
bmhhr	阊
bmhjv	敎
bmhri	间
bmhvi	蜉
bmhwe	闵
bmhxx	阘
bmjcu	蛶
bmjdo	阁
bmjke	闭
bmjkj	闶
bmjmg	阀
bmjsa	闫
bmjvj	闹
bmknw	蛲
bmla	蛛
bmle	肴
bmle	蛕
bmlgu	蜛
bmlgu	郩
bmlga	闬
bmlku	殽
bmlvl	阗
bmlqo	蝯
bmmdf	阈
bmmgi	闳
bmmbq	阌
bmmnr	阏
bmmxi	闷
bmmfy	阕
bmne	闪
bmnhv	蝣
bmnxu	阃
bmppe	阋
bmqtu	蛂
bmra	訚
bmrff	阛
bmrma	闯
bmrqo	蝦
bmshr	阇
bmsgr	阖
bmssu	闺
bmswi	闱
bmtgg	阆
bmti	蚭
bmtu	蚇
bmvbo	蠾
bmvgu	郗
bmvji	希
bmvls	阔
bmvsn	鵗
bmvtq	欷
bmvyw	瓻
bmwmh	阍
bmwdj	阚
bmwo	蟡
bmxnc	阑
bmxdn	鹇
bmxja	闸
bmxu	闲
bmya	闰
bmyga	阉
bmywo	闼
bnbe	負
bnbe	蛽
bnci	鍳
bnco	蚧
bnda	蟫
bnddo	臨
bndo	蛔
bne	臥
bnfja	覙
bnfja	覧
bnflc	蜦
bnfu	蝼
bnfvd	蝓
bnfxu	蜍
bnhe	蛤
bnhgi	蠄
bnhjv	蝮
bnhqa	螑
bnhsi	螵
bnkrj	蜖
bnksk	蝋
bnle	蛸
bnlrm	盬
bnmfi	蟈
bnmi	冞
bnmxi	螅
bnnfu	蠳
bnqpb	蟱
bnrci	鑒
bnrfj	覽
bnrmi	監
bnro	蚱
bnrrm	鹽
bnrra	譼
bnrts	擥
bntdo	蛿
bntdo	螥
bntqo	蛉
bntwi	蚙
bnwhe	蜠
bnwi	虼
bnwlv	蜁
bnwo	迩
bnxa	尔
bnytu	玺
bnytu	蝈
bo	虫
bpa	色
bpa	蚆
bpcsi	蚫
bpdna	鸩
bpdna	鹐
bpdo	蚼
bpe	冘
bpgta	蜔
bpgu	邥
bpi	螝
bpjo	蚒
bpkfo	蜪
bpkqo	螋
bpli	蜱
bpnvo	蠟
bpo	烉
bppe	蜺
bppkl	蟧
bpppo	燄
bpppb	冩
bppxu	蠑
bprje	蚐
bpsdo	蜩
bpsna	鴆
bpsna	鵮
bptqa	欿
bptu	虳
bpu	臽
bpvi	沊
bpywa	瓭
bqbfi	蠨
bqbla	蟏
bqbli	竪
bqbo	蜸
bqbss	蠓
bqbxu	蝾
bqci	鋻
bqdhi	蠸
bqfca	豎
bqfjr	蟎
bqfne	螨
bqfu	婜
bqfvj	螮
bqfxu	蠂
bqgla	蟥
bqhqa	蟒
bqhqo	蠖
bqhri	蜡
bqhvj	冪
bqhvi	孯
bqhyd	蟆
bqle	腎
bqlne	蜹
bqlyd	蝧
bqnbe	賢
bqo	臤
bqpsi	硻
bqqqo	蝃
bqrhr	蠴
bqrje	蚶
bqrtu	蠛
bqska	蝆
bqsu	堅
bqsu	蛏
bqto	蛹
bqtso	掔
bqxyu	蠇
bqyi	緊
bqyqa	蠎
brbbj	蠅
brbu	卧
brbu	虲
brcdo	蟮
brce	蜄
brdo	蛅
brffo	蠉
brfi	写
brgrm	蠦
brja	蚬
brkmg	蟻
brksi	螏
brli	蚪
brma	蚂
brmi	蛊
brpbo	蠋
brrhu	螔
brshr	蠩
brsro	蠌
brtnb	蠀
brwi	蜣
brya	蛘
bscbe	赜
bsdo	蛣
bsdo	蟢
bse	虵
bsfmu	蝳
bsgkl	蜐
bshri	蝫
bska	蟛
bska	蛖
bsle	蜻
bsnbe	賾
bsrwo	蟽
bssnw	蟯
bssu	蛙
bsthr	螧
bsti	蛯
bstu	冢
bswu	螐
bsxu	蟂
bsyi	螦
bsyo	蚘
btbcj	觤
btbi	蚁
btbjv	觼
btbo	触
btbvi	觮
btbxi	觪
btcdo	觿
btcli	觯
btclj	觽
btdli	觶
btftu	觩
btggu	螂
btgge	蜋
btgvi	觨
bthfi	觛
bthlj	觹
btjdo	觡
btju	觓
btkli	觔
btkxu	觻
btmga	觚
btnka	觴
btnka	觞
btnke	觘
btnmi	粂
btnnw	觥
bto	角
btpo	灸
btppe	觬
btqla	觵
btqpb	觾
btrbo	觸
btrli	斛
btrmn	觲
btrya	觧
btshr	觰
btsna	鵤
btssu	觟
btti	蚍
bttkb	蝔
bttsu	蜌
btu	久
btvbo	蟹
btvmn	解
btvne	觖
btvwo	邂
btwmi	觗
btwtu	觝
btwtu	觙
btxdo	觫
btya	蛀
btydo	觭
bva	虭
bvbjj	艐
bvbnr	艦
bvbdt	艬
bvbxl	艟
bvcnv	艏
bvclr	艗
bvcsa	舢
bvda	刈
bvdbj	艝
bvdlf	艛
bvdhr	艚
bvdki	舯
bvddm	艥
bvdna	鸼
bvdo	蛁
bve	蛆
bve	冝
bvfxu	艓
bvgo	舡
bvgu	郍
bvgyo	舳
bvhdo	舸
bvhqq	艔
bvhhq	艭
bvhrm	艋
bvjgy	舷
bvjge	艂
bvjkj	航
bvjcm	艕
bvjgp	艈
bvjcr	艩
bvjsk	舽
bvkba	舶
bvkbo	螌
bvkci	鎜
bvkdo	船
bvkfu	媻
bvkjf	褩
bvkgt	艡
bvkps	磐
bvkrm	盤
bvkti	舵
bvkts	搫
bvktu	舤
bvkkt	舧
bvku	般
bvkvj	幋
bvkvj	艊
bvkwg	鞶
bvkxu	槃
bvkya	艎
bvkyi	縏
bvlrd	艒
bvlgi	舩
bvlhu	舮
bvllc	艑
bvlsi	艇
bvmfc	艠
bvmdo	艁
bvmfa	舫
bvmhv	艀
bvmlm	艉
bvmlg	艍
bvncj	舱
bvntd	艙
bvne	蚗
bvni	舾
bvnle	艄
bvntm	艌
bvntq	舲
bvnro	舴
bvnpr	艞
bvnfx	艅
bvo	舟
bvpa	舥
bvpkq	艘
bvqla	舼
bvqhq	艧
bvqbs	艨
bvqfv	艜
bvrgo	艖
bvrja	舰
bvrgk	艣
bvrmi	盘
bvrkm	艤
bvrms	舻
bvrqo	舨
bvrgr	艫
bvsnd	艢
bvshr	艪
bvsna	鵃
bvtbi	舣
bvtgg	艆
bvtti	舭
bvu	蜅
bvva	舠
bvxja	舺
bvxli	艃
bvxxu	蟝
bvyfr	舿
bvytu	舦
bwddo	蟜
bwfu	蜲
bwi	虬
bwi	亇
bwlle	蝑
bwmi	蚔
bwmtu	蚳
bwo	逮
bwrje	螼
bwrli	蝌
bwrqo	蝂
bwvda	蜊
bwvja	蜬
bwvxu	蟍
bwwfi	蜵
bwwna	蜏
bxbxi	辡
bxcbx	辨
bxcbx	辫
bxcne	閷
bxdji	蜥
bxdvd	蝲
bxhbx	辬
bxhfu	蝘
bxhri	蝀
