b	爱
gmc	瞪
gmd	瞎
gmf	摩
gmj	魔
gmk	盯
gmm	睁
gmp	瞭
gmr	磨
gms	鼎
gmv	睛
gmw	瞧
gnc	痛
gnd	造
gnf	病
gng	选
gnh	製
gnj	痴
gnk	朱
gnl	疗
gnm	痕
gnn	罷
gnp	療
gnq	疯
gnt	疼
gvy	罚
gww	眾
hbb	贴
hbh	购
hbk	贼
hbv	赌
hql	欺
hrd	唇
hrj	辱
hrw	齡
hsg	冒
hsk	歲
hsl	紫
hsw	龄
hth	疊
htl	累
htm	異
htw	界
hvd	週
hxh	翠
hxv	剛
hzb	赴
hzh	鼻
hzj	超
hzl	邊
hzp	臭
hzt	趟
hzw	趁
jdn	刃
jfh	题
jfj	慧
jfk	量
jft	卑
jgf	巧
jgg	貢
jgl	過
jgq	恐
jgt	攻
jgw	巫
jhp	映
jjb	熙
jjd	照
jkc	矮
jkd	智
jkl	叔
jll	晾
jmf	晓
jmj	闭
jmk	暴
jml	闹
jms	闲
jmt	阁
jmv	晕
jrc	緊
jrj	巢
jrl	巡
jrt	災
jry	臨
jsj	导
jsk	艘
jsl	航
jsm	民
jsn	艇
jsq	船
jsv	舰
jvj	時
jvv	曉
jxc	性
jxd	名
jxf	必
jxg	愣
jxj	慢
jxk	怕
jxl	惊
jxm	怀
jxn	怡
jxr	怨
jxs	懒
jxt	愤
jxv	憐
jxw	怜
jxx	悦
jxy	悔
kbj	魄
kbl	迫
kbn	翁
kbv	爷
kbw	欲
kdd	哥
kdg	圓
kdl	迴
kdt	圖
kgd	强
kgj	费
kgk	辜
kgl	引
kgm	戒
kgn	強
kgs	弱
kgt	故
kgv	疆
kgy	划
kjf	舉
kjh	舅
kjj	毁
kjl	戚
kjv	學
kkd	國
klf	縣
kmd	圍
kqk	重
kql	北
kqm	垂
kqn	县
kqp	状
kqv	壮
kqw	助
krc	径
krd	彼
krf	衡
krh	徒
krj	團
krk	衝
krl	征
krm	彻
krn	往
krq	役
krs	律
krt	德
krv	待
krw	徐
kry	御
ksd	纪
ksf	级
ksg	缠
ksh	细
ksj	红
ksk	丝
ksl	统
ksm	绝
ksq	纸
kss	绿
kst	续
ksv	结
ksw	维
kvd	園
kxd	辯
kxs	辣
kxw	辦
kxx	辨
lbj	疑
lbm	髮
lbs	鬆
lfj	悲
lfr	輩
lfs	柔
lft	務
lfv	辈
lfw	於
lfy	施
lgy	刊
lky	饰
llf	斷
llg	贏
llk	幾
llt	敦
lly	郭
lqf	艶
lqh	農
lsb	緩
lsd	總
lsf	經
lsg	繩
lsh	細
lsj	紅
lsk	線
lsl	統
lsm	絶
lsq	紙
lsr	織
lss	編
lst	終
lsv	結
lsw	給
ltj	裹
ltk	效
ltl	牽
ltn	充
ltt	市
ltw	雜
ltx	帝
lxd	窗
lxf	少
lxg	究
lxj	空
lxk	举
lxl	辉
lxm	学
lxn	逍
lxp	突
lxr	窮
lxv	尘
lxw	容
lxy	窄
lzf	孫
mbl	歪
mcb	菜
mcc	荡
mcd	觀
mcf	燕
mcg	夢
mch	英
mcj	莫
mck	共
mcl	菲
mcm	若
mcn	散
mcp	获
mcr	节
mcs	某
mct	蓬
mcv	莲
mcw	苏
mcy	萨
mdf	師
mdg	逸
mdh	歸
mdt	聰
mfl	冠
mll	聯
mqd	頓
mrk	職
mrl	運
mrt	聽
msd	皱
msg	觸
msj	蟹
msq	触
mst	煞
mxf	帶
mzd	右
mzn	雄
mzt	灰
ndj	腕
nds	朗
ndw	永
nfm	罐
nft	肺
nhh	膠
njd	腦
njf	腸
njk	臘
nkw	腳
nmg	膽
nmj	膜
nmk	臟
nnd	胎
nsn	熊
nvk	膨
nxp	勝
nyj	腹
nzb	踩
nzd	躁
nzf	距
nzh	躍
nzj	踢
nzk	蹤
nzm	跪
nzp	跨
nzv	蹟
nzw	踏
nzx	蹲
pdb	奈
pdc	秦
pdd	靈
pdf	夸
pdj	夺
pdk	夷
pdl	套
pdn	态
pdt	奔
pdv	爽
pdw	泰
pfg	規
pfx	夹
plf	霧
pqd	獄
pqg	獨
pqh	狗
pqj	猩
pqm	猫
pqn	狼
pqr	犯
pqt	狄
pqv	猜
pqw	猴
pqx	猶
psh	豹
psn	雲
qhj	虹
qhk	蝴
qhq	蟲
qht	蜂
qhv	蛙
qhx	蟻
qjf	鳳
qjn	凡
qmd	劉
qmg	貿
qmn	卵
qms	卿
rdh	離
rdl	鬧
rgc	產
rgf	環
rhb	點
rhh	珊
rkb	碼
rkc	碟
rkd	破
rkf	硬
rkg	礦
rkj	射
rkl	碎
rkm	確
rkq	躲
rkr	碧
rks	碌
rkt	躺
rkv	碳
rkx	碰
rlb	站
rld	竞
rlf	产
rlg	毅
rlj	竟
rlk	童
rln	龍
rls	新
rlv	端
rmc	闊
rmd	問
rmf	開
rmj	閉
rml	關
rmt	毯
rmx	閲
rnv	島
rrd	璃
rrf	輕
rrg	轎
rrj	惠
rrk	輔
rrl	連
rrr	轉
rrv	暫
rrw	琴
sbj	憑
sfb	盡
shd	启
shh	扁
shw	顧
sjf	建
sjj	尋
sjn	既
sjt	灵
sjv	書
sjw	录
skb	慰
skc	局
skd	避
skf	属
skg	眉
skk	剧
skl	适
skm	殿
skn	迟
skr	尾
sks	层
skt	敌
skv	屠
skw	尿
skx	屏
sky	刮
slg	盗
slj	凝
sll	凉
smb	标
smc	树
smd	整
smf	极
smg	桥
smh	刺
smj	查
smk	松
sml	李
smm	根
smn	术
smp	椅
smq	柳
sms	林
smt	格
smv	楼
smw	枪
smx	梯
smy	梅
snj	魂
spf	凑
spn	將
spp	狀
spv	裝
sss	肅
ssw	脊
tgr	褲
tgv	裤
thb	爐
thc	燈
thd	燥
thh	炮
thj	袍
thk	煌
thl	炒
thm	炼
thn	燃
thr	爛
tht	炎
thv	烤
thx	烂
thy	炸
tjf	幅
tjh	帽
tjk	帕
tjl	帳
tjs	裸
tkc	卖
tkd	囊
tkf	掌
tkg	賞
tkh	赏
tkj	朝
tkk	戴
tkl	嘗
tkm	勃
tkr	黨
tks	妻
tkt	敞
tkw	协
tkx	丧
tpj	逢
tyj	複
vbl	遞
vcf	诱
vdd	袁
vdf	误
vdh	堪
vdj	赤
vdk	识
vdl	坑
vdm	块
vdn	劫
vdr	境
vdt	墙
vdv	封
vdw	堆
vdx	增
vfc	穀
vfq	殼
vjb	煮
vjf	岳
vjl	近
vjn	斥
vjs	课
vjv	質
vkb	款
vkc	壽
vkd	毒
vkf	凱
vkg	岸
vkh	责
vkj	志
vkl	素
vkn	崩
vkp	峽
vkr	岩
vks	馨
vkt	峰
vkw	嶺
vlj	诣
vlx	评
vmg	糖
vmj	鄰
vmk	糊
vml	迷
vmm	诺
vmn	粮
vmp	類
vmr	粒
vms	料
vmt	希
vmx	糕
vrf	辆
vrj	谢
vrl	较
vrv	暂
vrw	轮
vsc	殷
vsq	殺
vsw	嘉
vtc	读
vvj	诗
vxj	對
vxk	業
vxm	叢
wcb	焦
wcd	售
wcl	進
wcw	雙
wdv	傻
wfc	今
wfg	俄
wfh	僵
wfj	例
wfl	剑
wfn	愈
wfs	余
wgn	優
wgy	側
wjf	傑
wkd	何
wkf	餓
wkg	貸
wkh	飽
wkj	份
wkk	俱
wkl	袋
wkr	黛
wkv	飯
wkw	俗
wkx	餅
wky	飾
wld	架
wlg	貨
wlh	货
wlk	办
wlt	华
wmd	偉
wmf	備
wmj	侯
wmk	供
wmn	仗
wmt	佈
wnc	颔
wnk	俊
wnq	凭
wns	創
wrj	傳
wsc	传
wsf	健
wsh	偏
wsm	侵
wss	假
wsy	倒
wvg	債
wwf	倫
wwl	伦
www	傘
wxf	儀
wxm	併
wyg	價
wyj	傷
xcd	总
xcf	判
xch	首
xcj	曾
xck	益
xcl	丫
xcm	瓶
xcn	剪
xcp	送
xcs	归
xct	帅
xcv	普
xcy	尊
xfg	義
xjb	钻
xjh	钢
xjk	铺
xjl	销
xjm	银
xjs	键
xjt	锋
xjw	铃
xjx	锐
ydt	繁
yfb	隱
yff	陆
yfg	陌
yfh	陶
yfj	陽
yfk	阻
yfl	防
yfm	隐
yfn	際
yfr	陪
yfs	陳
yft	降
yfv	阵
yfw	除
yfx	隊
ymf	無
yqk	氛
yqv	氣
ysh	筒
ysj	简
ysn	筋
ysr	笔
yss	策
yst	篷
ysv	籌
ysw	答
ysx	箭
yxb	飄
yxp	遷
yxv	甄
a	了
i	是
e	的
o	我
u	不
ba	彩
bu	受
ca	妈
ce	和
co	以
da	只
do	説
du	完
fu	再
gu	度
ha	趕
hi	起
ho	些
hu	基
jo	过
ju	外
ka	下
ko	感
la	六
ma	色
mi	著
mu	在
na	参
ni	然
nu	服
pa	大
pi	太
po	零
pu	夫
qa	蛛
qe	收
qi	发
qo	迎
qu	凤
ra	码
re	现
sa	头
se	相
ta	真
te	各
ti	被
to	常
va	声
vi	去
vo	说
vu	都
wa	什
wi	你
wu	個
xa	关
xe	着
xi	前
ya	际
ye	要
yi	笑
yo	怎
bba	餐
bbe	战
bbi	点
bbo	贞
bha	彪
bhe	虚
bhi	虏
bho	虑
bjo	恋
bke	神
bki	福
bko	祝
bku	社
blo	迹
bpa	奕
bqo	蛮
bse	采
bsi	爵
bso	遥
cbi	登
cce	桑
cci	书
cfe	司
cfu	那
cha	科
chi	种
cho	程
chu	秩
cje	颈
cji	对
cki	法
cko	满
cku	没
cli	欢
cme	敢
cmi	验
cmo	驻
cmu	驴
cna	嫁
cni	好
cno	怒
cnu	姑
csa	买
cto	迅
cve	观
cvu	圣
cwa	承
cwi	劝
cwo	难
cxi	鸡
cyu	邓
dfo	蚩
dje	改
dju	錮
dka	吧
dki	中
dko	唄
dku	哪
dma	家
dmi	定
dmo	官
dmu	塞
dpe	颇
dto	贯
fce	耍
fco	违
fde	頭
ffa	医
ffi	欧
fhi	鲍
fje	残
fki	与
fko	盏
fle	顽
flo	远
fma	形
fmi	开
fni	及
fno	盈
fpa	天
fpe	吞
fpi	么
fpo	乎
fpu	失
fto	灭
fvi	来
fvo	恶
fwe	救
fwi	一个
fwo	雅
fwu	一個
fxi	鸦
fyu	邪
gbi	罩
gfi	厨
gfo	厉
gga	庆
ggi	应
ggu	座
ghi	厕
gho	厮
gke	接
gki	打
gko	揖
gku	报
gle	胤
gli	麒
glo	罪
gmi	睡
gmu	眸
gna	物
gne	告
gni	特
gno	先
gpi	厌
gre	顾
gse	厢
gso	逃
gto	置
gvi	压
gwi	历
gwo	眾人
gxi	厥
hba	赚
hbe	败
hbi	则
hbu	贩
hdi	够
hfe	同
hhi	刻
hka	勿
hki	匆
hko	忽
hla	彤
hle	丹
hma	典
hni	勾
hpa	央
hqe	期
hqo	斯
hse	肯
hsu	歧
hte	略
hto	思
hve	周
hvo	雕
hvu	冉
hxa	翼
hxe	戮
hza	赶
hzo	息
hzu	趣
jbu	暖
jce	星
jde	召
jdo	忍
jdu	邵
jfa	艳
jfo	帮
jfu	邦
jha	易
jhi	歇
jje	昭
jki	短
jko	矩
jku	卡
jla	影
jli	景
jlo	晌
jlu	晃
jma	闯
jmi	间
jmo	晚
jmu	最
jna	明天
jno	盟
jqe	昂
jru	卧
jso	盘
jsu	般
jva	時候
jvi	暑
jxa	惨
jxe	情
jxu	怪
jyi	晒
jyo	昨
kbi	分
kbo	皇
kco	盛
kde	可
kdo	圆
kfe	威
kga	弹
kje	团
kji	式
kjo	鼠
kka	具
kke	须
kku	固
kle	野
klu	墅
kpa	因
kpo	恩
kqa	奖
kqo	装
kre	很
kri	得
kro	全
kru	行
kse	给
kso	终
ksu	缓
kto	图
kxe	圈
lba	毕
lbe	皆
lce	肾
lco	贤
lcu	坚
lfa	族
lfi	旋
lgu	敲
lji	氓
ljo	忘
lke	饿
lki	饮
lko	馆
lku	饭
lli	熟
llo	赢
llu	就
lma	豫
lmo	襄
lno	望
lri	毫
lro	肆
lta	率
lte	旁
lti	交
ltu	郊
lwi	幼
lxa	兴
lxu	光
lye	览
lyi	临
lyo	监
lza	孤
lze	孩
lzo	孟
mbe	否
mbo	还
mca	黄
mce	落
mci	花
mco	蓝
mda	象
mdi	勉
mdo	追
mfi	写
mgo	退
mhi	耻
mho	负
mja	冥
mjo	遭
mka	罕
mli	尔
mmi	冤
mmo	耽
mni	久
mqe	顿
mso	带
msu	解
mti	聘
mve	军
mwi	鹤
mxa	联
mxo	聪
myu	耶
mze	有
mzi	左
mzo	布
mzu	友
nba	祭
nca	肠
nce	胜
nde	良
ndi	为
ndu	郎
nfi	缸
nfo	缺
ngu	脏
nhi	胞
nho	胸
nja	脾
nje	腥
nji	胆
nki	膊
nko	腻
nku	脯
nla	肝
nle	膀
nli	腔
nma	朦
nme	脆
nmi	腊
nmo	腿
nni	丢
nno	脉
npu	肤
nqi	肌
nqu	股
nro	脑
nsa	矣
nse	台
nsi	能
nso	膝
nsu	垒
nte	胳
nti	脖
ntu	膛
nve	脚
nvu	肚
nwa	胁
nwi	脸
nxa	腾
nxo	脱
nye	腰
nza	踪
nze	跟
nzi	跑
nzo	跳
pdi	奋
pdo	达
pdu	牵
pfe	规
pfi	替
pge	霸
phe	震
phi	雷
pko	霓
ple	霄
pne	露
pno	霆
pqa	狐
pqe	狠
pqo	独
pqu	犹
pre	霎
pse	霜
pso	貌
psu	霞
pti	雾
pwo	霍
pye	霉
qha	蝉
qhe	蝶
qhi	蛇
qje	朵
qjo	凰
qli	乐
qmo	贸
rbe	瑶
rca	玛
rdi	离
rfi	球
rfu	玩
rga	珠
rgi	琢
rhi	默
rhu	墨
rji	卫
rki	理
rko	砸
rla	彦
rle	亲
rlo	这
rlu	部
rmu	环
rpe	琦
rse	琳
rte	玫
rvo	瑞
rwa	珍
rwi	瑜
rwo	玲
rxo	班
ryi	刘
sca	冯
sci	专
sdi	冲
sdo	况
sfa	龚
sfe	龙
sfo	袭
she	房
shi	扇
sho	遍
sja	肃
sje	即
sji	寻
sju	郡
ski	屋
sko	尽
sku	居
sla	凛
sle	姿
slo	资
sma	杨
smi	机
smo	想
smu	板
sni	动
sno	运
spu	版
sse	致
sta	斗
ste	凄
sve	凌
swo	冷
tbu	补
tha	烟
thi	灯
thu	烧
tje	帐
tji	初
tki	索
tko	直
tku	堂
tlo	迪
tpe	条
tpi	备
tpo	冬
tpu	处
tsa	襟
tse	裙
tsi	尝
tyu	邮
vbe	谣
vca	讯
vce	词
vci	诵
vco	返
vda	场
vde	地
vdi	城
vfe	后
vfi	考
vfo	诞
vga	诛
vgo	谨
vhe	该
vhi	询
vho	所
vja	兵
vju	邱
vki	静
vko	表
vku	崖
vle	教
vli	诣
vma	类
vme	数
vmo	断
vni	议
vqi	讽
vqu	设
vra	轩
vri	轻
vro	连
vru	轰
vsa	彭
vse	话
vsi	刹
vso	讲
vsu	鼓
vta	计
vte	盾
vto	谈
vva	讪
vve	请
vvo	谜
vwa	诊
vwi	论
vxa	谦
vxi	谱
vya	许
vyi	谭
vyo	诈
wbe	佔
wbo	侦
wbu	仆
wce	集
wdi	仲
wdo	侃
wdu	堡
wfe	命
wfi	便
wfo	俩
wfu	伍
wgi	俯
wgu	件
whi	侧
who	盒
wje	们
wji	但
wku	段
wla	候
wle	加
wlo	边
wma	像
wmi	借
wna	今天
wne	领
wni	今
wnu	邻
wpe	倚
wpi	侠
wpo	儒
wqe	仰
wqo	佩
wre	倍
wri	位
wse	伊
wte	倘
wti	偿
wto	伙
wva	仙
wve	傲
wvi	侍
wvo	催
wvu	佳
wwi	偷
wwu	坐
wxa	伞
wxe	倦
wxi	僧
wye	侮
wyi	伤
wyo	作
xca	单
xce	弟
xco	道
xcu	郑
xgo	盖
xhi	翔
xja	镇
xje	钱
xji	错
xjo	镜
xju	铁
xme	羞
xna	岛
xpa	美
xsi	羡
xxe	善
yde	每
ydi	配
yfe	阿
yfi	陈
yfu	院
yge	酷
yje	复
yla	醉
yli	酬
ymi	醋
ymo	舞
yne	酸
ysa	箫
yse	第
ysi	等
yso	管
yta	午
yxa	票
yxe	覆
yxo	贾
bhfe	戲
bhti	處
bkge	視
bkve	视
bmwi	驗
bsmu	爱
bssi	爭
cbku	發
chce	委
chki	種
chto	秋
chyi	利
ckda	演
ckdi	灣
ckhu	沒
ckke	河
ckko	溫
ckle	消
ckli	洲
cklo	滾
ckmi	沉
ckne	治
ckno	注
ckqu	没
ckse	湄
ckto	淡
ckve	清
ckvo	派
ckwa	準
ckye	海
cnba	媽
cnde	如
cnje	如果
cnke	姐
cnne	始
cnqi	婚
cslo	通
dcfi	證
dfme	語
dhve	調
djke	錢
djme	銀
djno	認
dkca	吗
dkda	單
dkfi	吸
dkfo	呼
dkhe	喟
dkhi	嘴
dkho	呗
dkja	邑
dkji	喝
dkka	叭
dksi	呢
dkte	數
dkti	嚏
dkto	喷
dkvo	听
dkwi	别
dkye	啊
dkyi	吃
dlle	變
dmce	安
dmdo	實
dmfi	富
dmja	密
dmje	害
dmki	寫
dmli	它
dmme	寨
dmmo	寒
dmna	察
dmsa	实
dmsi	室
dmte	客
dmwu	護
drki	識
dvgo	讀
dvni	訴
dwfe	論
dxfe	議
dyta	許
ffde	區
ffju	醫
fjli	死
fjyi	列
fkhi	武
fkti	爾
fmyu	型
fpgo	血
fpli	系
fpmi	升
fpvi	翻
ftke	兩
fwni	求
gbyi	則
gcci	歷
gfdo	還
ggbe	店
ggma	廣
ggno	庭
ggqi	底
ggse	床
ggsi	康
ggte	夏
ggwi	府
ggwo	應
gkbe	摇
gkbi	掉
gkde	操
gkhi	抱
gkja	把
gkje	招
gkji	提
gkke	找
gklo	排
gkqu	投
gkri	拉
gkvi	持
gkwo	推
gmfi	麽
gmjo	魔
gmme	眼
gmve	睛
gnci	痛
gndo	造
gnfo	病
gnhi	制
gnho	製
gwwo	眾
hsli	此
htwi	男
htwo	界
hvyi	刚
hxhe	戮
hzje	超
hzki	越
hzlo	邊
jdsi	事
jfhe	題
jfji	彗
jfki	量
jgli	體
jglo	過
jgqo	恐
jgte	攻
jgwi	功
jjdi	照
jkde	知
jkdi	智
jlle	顯
jnve	晖
jsjo	選
jsmi	民
jsqe	船
jxce	性
jxde	名
jxfe	必
jxji	多
jxju	慢
jxke	怕
jxli	惊
jxmo	快
kble	樂
kbni	公
kbva	爸
kbwe	卻
kdde	哥
kddi	歌
kdte	圖
kfqi	微
kgde	张
kgdi	或
kgdo	强
kgle	張
kgli	弔
kgno	強
kgte	故
kjfa	與
kjfo	舉
kjha	興
kjve	覺
kjvi	學
kkdi	國
klfi	縣
kqji	将
kqki	動
kqle	背
kqli	北
kqwi	助
krji	團
krle	後
krno	往
krsu	術
krto	德
krvi	待
krvu	街
krwi	從
ksci	经
ksfi	響
ksfu	鄉
ksji	红
ksma	绝
ksve	结
kvdo	園
kxwo	辦
lbli	比
lcli	紧
lfte	放
lfti	務
lfwo	於
lfye	施
lfyo	遊
lgxi	平
llfo	斷
llko	幾
lsdi	紀
lsdo	總
lsfi	經
lshi	細
lsji	紅
lske	組
lsko	線
lslo	統
lste	政
lsto	終
lsve	結
lsvo	續
lswe	給
ltke	效
ltko	裏
ltne	育
ltno	充
ltwi	夜
ltxe	商
ltxo	帝
lxde	窗
lxfe	少
lxgu	究
lxji	空
lxme	觉
lxmi	学
lxpi	突
lxsi	当
lxwe	容
mcbe	菜
mcde	觀
mcdi	歡
mcha	英
mche	警
mcka	共
mcke	藏
mcma	華
mcme	若
mcne	散
mcsa	黃
mlli	聯
mqli	东
mrlo	運
mrto	聽
msjo	急
mxfo	帶
mzde	右
mzli	存
mzno	雄
ndwo	永
njdi	腦
nkwe	腳
nsna	參
nsno	態
nzte	路
pdke	奇
pqgo	獨
qfre	印
qmhi	留
rdho	離
rgfo	環
rhbe	點
rkfi	研
rkji	射
rkmo	確
rlbe	站
rlfe	産
rljo	意
rlki	童
rlse	親
rlso	新
rmli	關
rrfi	輕
rrji	專
rrlo	連
rrri	轉
sjlo	进
sjto	灵
sjvi	書
skce	局
skdi	璧
slgo	資
smde	杏
smdo	速
smhe	棗
smli	李
smma	模
smme	根
smmo	權
smse	林
smsi	楚
smte	格
smvi	樹
smya	標
spni	將
spvo	裝
ssyi	到
thte	營
tkfe	掌
tkhi	當
tkho	南
tkje	朝
tkro	黨
vdja	場
vdka	识
vdki	熱
vdne	却
vdro	境
vdxi	增
vfme	语
vjlo	近
vjvo	質
vkde	毒
vkhi	獒
vkjo	志
vkli	素
vkso	聲
vkwi	岑
vlli	谆
vmlo	迷
vmpe	類
vmsa	料
vmto	希
vmve	精
vrsi	转
vsde	喜
vxji	對
vxka	業
wclo	進
wcno	似
wdse	保
wfca	今天
wfdi	使
wfji	會
wfli	剑
whfe	拿
wkde	何
wkte	做
wlka	办
wlki	停
wlta	修
wlte	條
wmka	供
wmlo	您
wnce	領
wnsi	創
wqmi	低
wrji	傳
wsci	传
wsfo	健
wsni	会
wssu	假
wsyi	倒
wygo	價
xcdo	总
xchi	首
xcji	曾
xcko	益
xcmi	并
xcpe	養
xcpo	送
xcte	敝
xcto	幣
xcvi	普
xfge	義
yfja	陽
yfle	防
yfme	限
yfmo	随
yfna	際
yfve	阵
yfvu	陸
yjce	醒
ymfi	無
yqvi	氣
ysse	笋
yswe	答
bbbbe	䲜
bbbe	鱻
bbbhu	𫧰
bbbu	𪟾
bbbu	𬵂
bbcbb	𤆛
bbcff	𘧯
bbcfi	𘡷
bbcfv	𘔯
bbcfv	𗡿
bbcfv	𗢀
bbci	𠧒
bbci	𩷋
bbci	𘠶
bbci	𘠷
bbcjc	𘉃
bbcjc	𘉄
bbcjd	𠞲
